จะมีใครรักพี่บมเท่าหนูไม่มีอีกแล้วลูก มีความสุขเวลาเล่นกับพี่บมตลอด 555 https://t.co/vBW3qPspXS,joy
@BSutida_Stp   แฮปปี้เบิร์ดเดย์ ย้อนหลังนะมึง มีความสุขมากๆๆที่สุด มีผัวกะเค้าสักทีนะ คิดถึงมากอยากเจอ รักนะจุ้บจุ้บ,joy
จงปลดปล่อยตัวเองให้มีความสุข เท่าที่ชีวิตอนุญาตให้คุณมี อย่าจมดิ่งกับความเศร้า แล้วก็เอาแต่โทษตัวเอง เพราะเมื่อวานนี้ ได้ผ่านไปแล้ว,joy
มีความสุขทุกครั้งที่ได้คุยยย55??,joy
พิจิ่งเท่สุดๆไปเลย ยิ้มสดใสมีความสุขเวลาได้ทำสิ่งที่ตัวเองรัก???? #jingyu #huangjingyu #heroinwebseries https://t.co/kxPHGRd9Kc,joy
เรามีความสุขได้ถึงแม้ว่ากลางคืนเราจะนอนร้องไห้คิดถึงเขาอยู่...,joy
"บ๊อบเม้นท์ :
มีความสุขมากที่ทุกคนมาอวยพรวันเกิด!!!!! เหมือนเป็นคนสำคัญเลย",joy
ได้แต่นี้ก็มีความสุขแล้วละ,joy
"ฉันค้นพบว่าไม่อยากอยู่กรุงเทพ 
อาจต้องทิ้งความฝัน (อะไรยังสอบไม่ติดเลย)
เพื่อไปอยู่ที่ที่มีความสุข ที่ดีต่อใจ",joy
ไม่ใช่นางเอก แต่คิดถึงพระเอกทุกวัน...เลยสินะ...อร๊ายยย...ฉันมีความสุข #weightliftingfairykimbokjoo #อยากดูแล้ว https://t.co/gSy8lmb9sH,joy
@luktarncandoit บางทีก็ไม่รู้ว่าความสุขคืออะไร รู้แค่ตอนนี้มีความสุขยังงั้น,joy
ไม่อยากห่างกันเลย... อยู่ด้วยกันแล้วมีความสุขมาก,joy
เค้าไม่ได้เสียใจเลยสักนิด เหมือนมีความสุขดีที่ไม่มีเรา,joy
"วันไหนที่เหนื่อยเพลียมากๆ
พอได้ทิ้งตัวลงนอนบนที่นอน
มันเป็นโมเมนต์ที่ มีความสุขมากกกเลยนะ??",joy
พี่แบค gif นี้กินแบบน่าอร่อยมาก กินแบบมีความสุขสุดๆอ่ะ มีความสุขมากเวลากินของอร่อยๆ ฮืออออ น่ารักก เคี้ยวเต็มปาก555… https://t.co/lZXrScksLj,joy
เป็นแจ้งเตือนที่เห็นก็มีความสุขละ,joy
ทั้งสองมีความสุข พวกเราก็มีความสุข @Sometimespotae @neayyy_ https://t.co/jekEwVMzmX,joy
ญี่ปุ่นเป็นประเทศที่ อย่าประหยัดเลยตอนไปเที่ยวอะ ของกินแม่งเทพมาก แพงก็ช่าง ซื้อๆแดกไปเหอะครับ มีความสุขกว่ามานั่งแดกข้าวปั้นเซเว่นทุกมื้อ,joy
ขอให้ปีนี้และปีหน้าเป็นปีที่ดีสุด ขอให้ทุกคนที่มึงรักมีความสุข… https://t.co/Pfk3KAHkge,joy
ฟังเพลงแจ๊สคริสมาสแล้วมีความสุข ผ่อนคลายดี นี่เป็นคนชอบวันคริสมาสนะแต่เฉยๆกับวันขึ้นปีใหม่,joy
@Som5555555 ดูหน้าพี่เขามีความสุขมีเล่เหลี่ยมแปลกๆนะคะ5555555,joy
@Jun2daKAY มีความสุขดีจังเลยย,joy
เดินมองข้างหลังแบบนี้ก็มีความสุขแล้ว,joy
#ForLife ชอบอัลบั้มฤดูหนาวของ EXO ตรงที่เราจะได้ยินเสียงร้องของพวกเขาแบบชัดมาก เพราะดนตรี soft อบอุ่น เศร้า มีความสุข ปนกันไป...,joy
เห็นแกมีความสุข เราเองก็มีความสุข ยิ้มเยอะๆนะคะ น่ารักดี,joy
ในที่สุดพาร์ท 15 ก็ได้ยินเสียงพรอมโต้ววว มีความสุขขข,joy
เวลามีความสุขทวิตน้อยจริมๆ,joy
@TaoPhiangphor @KachaNontanun มีความสุขอยู่ในภาพถ่าย :3 #TaoKachaShipper https://t.co/jtHBrGWxBV  #taophiangphor… https://t.co/F6UvPvWqqC,joy
เอาใหม่ๆ มีความสุขเรื่องผู้ชายจัง,joy
ถ้าตัดเรื่องสอบกับเรื่องไม่มีเงินไป ช่วงนี้มีความสุขจัง,joy
แต่งเมียเมื่อไรร่อนการ์ดมาให้กัน 555 มีความสุขมากๆ ดูแลตัวเองด้วย คิดถึงมึงว่ะไอ่เกลอ ???? #เพื่อนโจวววว #เพื่อนรักส์ https://t.co/KfiSUzxkJi,joy
พี่ฟรอบอกว่า อยากจะใช้ชีวิตโดยเวลาเดินไปพร้อมๆกับหญิง (ให้นาฬิกา) สัญญาว่าจะมอบเวลาที่มีความสุขแบบไม่มีอะไรเทียบได้… https://t.co/nc5Ns5btyn,joy
13 #พ่อบ้านใจกล้าชานซู เป็นฟิค comedy อีกเรื่องที่ชอบมากๆ อ่านแล้วมีความสุขสุด ขำแทบจะทุกตอนเลยจริงๆ ชอบบบ ????,joy
ดันเผลอไปคิดถึงปลายทางที่น่าเศร้าจนลืมไปว่าระหว่างทางมันมีความสุขแค่ไหน,joy
อยู่กับพวกมันจนไม่มีเวลามานั่งเศร้าอ่ะหัวเราะชิบหายหมดไม่เหมือนคนเศร้าเลยกูยิ่งอยู่ยิ่งมีความสุข #เลิฟยูววว?? https://t.co/oyqhGaxv43,joy
@TASU_FUNAMI เกาหลีคนยื่นเยอะทุกปีเบยย คนเรียนเกาหลีดูแบบมีความสุข สู้ๆน้า,joy
เมื่อเพื่อนพาแฟนไปซื้อเครื่องสำอาง ละดูมันโพส มึงมีความสุขจากอะไร นี่แหละผู้ชาย 55555555555555555555555555555555555… https://t.co/hcXo8Q9o5C,joy
ฉันมีความสุขนะที่เห็นว่าเธอเองก็มีความสุขเหมือนกัน - พิกเล็ท (Winnie the Pooh),joy
มีความสุขมากๆนะคะคุณกาตุ่ย รอฟังเพลงใหม่อยู่นะคะ ขอให้เป็นปีที่ดีนะคะ #HOLUPitsBOBBYday https://t.co/WKsoi4K3TD,joy
วันนี้โคตรมีความสุขเลย ?? ถึงจะทาดูเอาตอนจะจบแล้วก็เถอะ อูซอกอุ้มยูโตะลอยเลยยยยยยยย https://t.co/VAgTm5BcEk,joy
"เพราะฉันมีความสุข เสมอแค่เธอยืนข้าง ๆ
ฉันจะให้ทุกสิ่ง เพื่อรักเราเป็นอย่างวันนั้น
แม้สักเล็กน้อยเธอโปรดบอกฉัน ว่าเธอยังรู้สึก",joy
แอคนี้จริงๆแล้วสร้างใหม่เพราะอยากให้มันเป็นพื้นที่ของเรา เรามีความสุขบนที่ตรงนี้ โอเคนะ,joy
เป็นภาพที่ดีงาม ดีต่อใจ หลายๆอย่างช่วงนี้มีแต่สัญญานดีๆเข้ามาจริงๆ ขอให้งานดี เงินดี มีความสุขดี มีมิตรภาพดี แบบนี้ตลอดไปนะ สาธุ ??????,joy
เหยดดด กว่าจะได้กิน รู้สึกมีความสุข พิกัดในตู้ไอติม?????? #รีวิวเซเว่น https://t.co/7t3sAxv0Hm,joy
"ข้อความของเฉินบนโฟโต้การ์ดอัลบั้ม For Life

เกาหลี: จบปี 2016 อย่างอบอุ่นและมีความสุขไปกับ EXO นะครับ~??
จีน: EXO-L… https://t.co/NdTrvwSKJB",joy
ฮาพี่จิน พี่เค้าดูมีความสุขกับการกิน 55555555555555555555,joy
@KIDpokerface hbd น้าเตงง มีความสุขมากๆ  กวาดเอได้เยอะๆ สวยวันสวยคืน สุขภาพแข็งแรงนาจาา จุ๊บๆ ????,joy
เป็นภาพที่ดีงาม ดีต่อใจ หลายๆอย่างช่วงนี้มีแต่สัญญานดีๆเข้ามาจริงๆ ขอให้งานดี เงินดี กระแสดี มีความสุขดี มีมิตรภาพดี แบบนี้ตลอดไปนะ สาธุ ??????,joy
@mtbot93 กินอย่างมีความสุขนะครับ ไม่งั้นจะไม่ให้อีก,joy
โอ๊ยยยย ไม่ต้องบอกก็รู้ว่ามีความสุขขนาดไหน ดูหน้าก็เฉลยคำตอบหมดล่ะ ???? #YUGBAM https://t.co/zg1GSNhki4,joy
รอยยิ้มเธอ..คือ the best ของผมอ่ะแค่มองก็มีความสุขแล้ว ไม่ต้องครอบครองหรอก และก็ไม่อยากให้ใครมาครอบครองด้วย 555555555,joy
"ถ้าเรามีความสุขกับการกินเราจะไม่อ้วนเว่ย//หลักการกูเอง
#HowtoPerfect #HowtoBeBeauty",joy
ผมเป็นผู้ชายที่มีความสุขมากๆ นี่มันตีความได้หลายอย่างละเกิน แฟนมาเซอร์ไพรซ์อะไรงี้ปะคะ เหิ่กกกก หัวใจชิปเปอร์,joy
ถึงจะไม่เป็นอะไรกันแต่ก็ห่วงหวงโกรธอยากให้น้องยิ้ม ยิ้มแบบที่เคยยิ้ม ที่สำคัญยิ้มกัน หรือเค้าก็มีความสุขอยู่ละเราคิดไปเองปะ,joy
ชอบเวลาตัวเองมีความสุข หัวเราะขั้นรุนแรง ไม่มีพื้นที่ให้กับเรื่องไรเลย แต่สักพักมันก็หายไป,joy
ขอบคุณเรื่องราวของพ่อบ้านและทูนหัวที่แสนน่ารักแบบนี้นะคะ ขอบคุณมากๆเลย เรื่องนี้เป็นเรื่องที่อ่านทีไรก็มีความสุขค่ะ #พ่อบ้านใจกล้าชานซู,joy
นึกภาพเมื่อตอนเที่ยงแล้วมีความสุขจังวะ,joy
มีคนชอบถามแบบไปไหนแต่งงี้ เอ้ออ ก็ตัวกูอะ มันอยู่ที่ความพอใจงี้ แต่งให้ตัวเองดูดีงับ มีความสุขเวลาได้แต่งตัวยืนดูตัวเองหน้ากระจกงี้,joy
ชอบชีวิตตอนที่ทุกอย่างผ่านไปเรื่อยๆ ทำสิ่งที่ตัวเองชอบไปเรื่อยๆ มีความสุขได้เรื่อยๆ ในแบบที่พอดี,joy
@dneekaaeiei โอ้ยยย มีความสุข555,joy
ขอบคุณอินฟินิทนะที่ครั้งนึงเคยได้รู้จัก เคยได้เป็นอินสปิริม เราจำทุกช่วงเวลาที่อยู่ด้วยกัน ยิ้มมีความสุขร้องไห้ไปด้วยก้น,joy
ระยองมีความสุขมากกว่าที่คิดนะ  #เขาแหลมหญ้า #ReviewThailand  #ReviewRayong https://t.co/weFkvh2PvX,joy
เป็นคนน่าเบื่อนะ ชอบกินอะไรก็จะกินแต่เมนูเดิมๆ ไปที่เดิมๆที่สบายใจ ก็มีความสุขดี,joy
หน้าดูปริ่มดูมีความสุขกับการได้แกล้งฮื่ออออออนั้ลล้ากกกก?? #gongyoo #?? https://t.co/RNhxjsUn27,joy
คิม จีวอนฮยองคนโปรดของดงฮยอก คนที่คอยดูแลน้องมาตลอด สุขสันต์วันเกิด มีความสุขมากๆนะคะ รักษาสุขภาพด้วยนะ????… https://t.co/8dttAzVwBb,joy
ช่วงที่ทำงานที่กระปุก การเห็นบทความที่เราเขียนคนอ่านเป็นหมื่น ๆ แสน ๆ เนี่ยโคตรมีความสุขเลย,joy
"ชอบคุณนะที่ผ่านเข้ามาในชีวิตเค้าอ่ะ 
ถึงจะสั้นแต่ก็มีความสุขนะ ขอบคุณจริงๆ??",joy
"ชอบเวลายัยน้องกินอะไรสักอย่างอ่ะ เป็นคนที่กินอะไรก็ดูอร่อยมาก กินแล้วมีความสุขก็กินเยอะๆนะเด็กดื้อ~

?Cherish_Hyun
https://t.co/m8svssPReY",joy
มีความสุขมากๆ เป็นเพื่อนกูตั้งแต่ ม.ต้นละ มีเรื่องอะไรก็มีมึงนี่แหละช่วย เป็นเพื่อนกกับกูนานถึงกูจะไม่ค่อยมีปยอะไร5… https://t.co/1APvxndZk3,joy
@guu_zc เดี๋ยวถึงเวลามันก็มี เเต่เล่นเกมแล้วมีความสุขก็เล่นไปเถอะ ดีกว่ามีแฟนอีก-3-,joy
"มักจะเป็นคนที่ดูมีความสุขเสมอ 
ถึงแม้จะไม่มีก็ตาม",joy
"สิ่งที่ทำเวลาไม่มีเงินคือเริ่มย้อนคิดว่ากูเสียเงินไปกับอะไรบ้างแล้วก็นึกเสียใจว่ากูซื้อมันมาทำไมวะเงินไม่เพิ่มที่เพิ่มคือความเศร้า	",sad
"บางทีก็ไม่เข้าใจตัวเองเลยตอนแรกก็เหมือนจะอารมณ์ดีอยู่ แปปๆดิ่งลงแบบเศร้ามากไม่รู้เศร้าอะไรหม่นไปหมดทั้งนอยด์ทั้งเฟลทั้งเบื่อ คือเป็นไรไม่รู้	",sad
"มะกี๊คุยกันถึงเรื่องโรคซึมเศร้า ก็เลยถามจะมีอาการเป็นไง น้องบอกข้อแรกมาว่าจะเบื่ออาหารไม่อยากกินไร สรุปข้อแรกกูก็ไม่เป็นและ จบ	",sad
"อนุญาตให้ตัวเองเศร้าเถอะ มันไม่เป็นไรหรอก	",sad
"สาวสุดเศร้าส่งสุนัขขึ้นเครื่องเตรียมกลับประเทศ กรงหลุด จนท.ยิงตายคาสนามบิน
เกาหลีใต้มั้ยล่ะมึง มนุษย์นี่น่ากลัวเนอะ	",sad
"มิ้นไม่เศร้ากูเอฟซีมึงนะ	",sad
บทเศร้านี่มีให้ไม่เคยเกินสองนาทีนะเรื่องนี้ดราม่าบ้างก็ได้โอ้ยยยยย,sad
เศร้าเว่อ,sad
"ไม่ชอบตอนกำลังอารมณ์ดี กำลังมีความสุข แล้วจู่ๆก็มีเรื่องเศร้ามาฉุดอารมณ์ให้ดาวน์อ่ะ แล้วหลังจากนั้นอารมณ์กูแม่งก็ดาวน์ไปเลยทั้งวัน	",sad
"ตอนนี้เศร้าจังอารมณ์เพลงพาไปล้วนๆ	",sad
ช่วงนี้ไม่ได้อ่านนิยายที่เป็นเล่มๆ เลยเศร้าสอบอีกละห่า,sad
"เธอคือเรื่องเศร้าที่สุดที่เคยทำให้ฉันยิ้มได้	",sad
"เหมือนจะมีความสุขนะแต่ก็ไม่แต่ก็ไม่ได้ถึงกับเศร้าอะไรขนาดนั้น	",sad
"อยากมีแฟนจัง แต่ไม่มีใครมาจีบเลยค่ะอห.เศร้าฉิบหาย	",sad
"เมื่อวานกลับไปอ่านหลงเลยเตรียมแก้แล้วด้วย โอ้โห คิดถึงประธานแต่ร้องไห้ก็ร้องไม่สุด นี่ว่าจะกลับมาแก้ตรงที่เศร้าๆ เอาให้สุด เอาให้ร้องงอแง	",sad
"เศร้าก็อย่าฝืนยิ้ม แต่ทุกข์ก็อย่านาน ความทุกข์เจอแล้วก็ปล่อยผ่าน อย่ากอดเก็บเอาไว้	",sad
"แม่งเครียด เครียดจนพาล พาลเครียดทุกเรื่องคิดมากทุกเรื่อง เศร้าไปหมด เรื่องจุ๋มจิ๋มก็เครียด หนังตลกก็เครียด เครียดดด!! #dek60 #โควตามข	",sad
"เคยคุยกับใครแบบไม่มีสถานะป่ะ คุยทุกวันเหมือนแฟนแต่ไม่ได้บอกรัก เวลาหายไปไหนก็คิดถึง แต่หวงหึงไม่ได้ จะว่าเศร้าก็เศร้าแต่ก็มีความสุขที่ได้คุย	",sad
อยากเมาให้ไปกินเหล้า อยากหายเศร้าให้มากินเรา,sad
"บางครั้งกูก็หัวเราะไปงั้นแหละ ยิ้มไปงั้นแหละ จริงๆในใจแม่งเศร้าจะตายห่า เศร้าแบบหมดอาลัยตายอยากมาก แต่ก็เสือกแกล้งว่ามีความสุขต่อหน้าคนอื่นๆ	",sad
"ดูแลตัวเองเพื่อคนที่รักเราดีกว่ามัวแต่เศร้าเพราะคนที่เค้าไม่ได้รัก	",sad
"และเราก็รู้ทุกอย่างมันน่าเศร้า	",sad
ฟิคนี่บทจะเศร้าก็งื้อออ บทจะเขิลก็งุ้ย,sad
"เคยอ่านบล็อกของคนที่เป็นโรคซึมเศร้าคนนึง เขาเขียนว่าเคยเกรี้ยวกราดชอบขว้างปาข้าวของใส่คนรัก ดีที่คนรักเขาเข้าใจ ความเกรี้ยวกราดก็เป็นสัญญาณ	",sad
ตอนแรกบอกใจตัวเองว่ากับคนนี้เล่นๆนะแต่ตอนเขาไปกูเศร้าทำไม,sad
น้องดูมีความสุข ถึงผมน้องจะสั้นมากจนพี่เศร้ามากแค่ไหน แต่พี่ก้จะมีความสุขตามน้องนะ ฮรืออออออออ,sad
"กูไปถามละสายไฟเบอร์มาไม่ถึง ต้องเสียค่าต่อสายอีกหลายร้อยเลยอะเศร้า	",sad
เศร้ากว่าไม่มีคือเคยมียังต้องการมึงกลับมานะเว้ย,sad
"พี่พูดว่า ไม่ไหวก็บอกไม่ไหว การร้องไห้มันไม่ได้อ่อนแอขนาดนั้น บล็อกตัวเองว่าไม่เป็นไรมันไม่ได้ ถ้ามันเป็นก็ต้องบอกว่าเป็น เศร้าก็บอกเศร้า	",sad
เผื่อใครไม่เคยฟังพี่เอกร้องเพลง เพราะอยู่นะ แต่เพลงที่อัพล่าสุดแอบเศร้านะพี่นะโบ๊ะบ๊ะแฟมิลี่ ,sad
อาการที่จุกกับอารมณ์ใดอารมณ์นึงที่เศร้าๆครับ,sad
"รู้แล้วครั้งนี้รักคือตัวการ
ทำคนเบิกบาน ให้กลายเป็นเศร้า	",sad
เศร้าเสมอเมื่อเกรดออก,sad
"สิ่งที่น่าเศร้าที่สุดในชีวิตผู้หญิงคนหนึ่ง
คือการยอมลดคุณค่าตัวเองลง
เพียงเพื่อผู้ชายแค่คนเดียว
- เอ็มม่า วัตสัน… https://t.co/OMp26Sefbr	",sad
ดูอาการมัควันนี้นางเป็นโรคซึมเศร้ารึเปล่า ไม่พูดไม่จา  แบมก็พูดไม่หยุด ช่างเหมาะสมกันจริ๊งจริง,sad
"แทมินไปอยู่ตรงไหนได้บ้างคะซิส ไปร้องเพลงก็โดนไล่มาว่าเป็นเมนเต้นมาร้องได้ไง พอมาเต้นอย่างที่ถนัดก็โดนไล่มาว่ามายังไงอะหลงยุคเหรอ เศร้าแทนเมน	",sad
เยริร้องไห้ตอนอ่านจดหมายค่ะ แล้วพอทุกคนเศร้าตามก็ทำสดใสแล้วก็บอกว่า เราไปเรื่องอื่นกันต่อนะคะ ทุกคนก็บอกว่า,sad
"ลองนับ ๆดูเหมือนว่าจะมีโคบังไม่พอไปถึงโอคาเนะฮิระเศร้าแปป	",sad
"คนที่ไม่เข้าใจอาการของโรคซึมเศร้าก็คงด่า อีนี่บ้า โมโหร้าย อย่าไปยุ่งด้วย ใครจะรู้ว่าเป็นอาการของโรคซึมเศร้า เพราะไม่ได้ซึมหรือเศร้าให้เห็น	",sad
ไม่รู้จะเสียใจหรือหน้าแหกดีอะ,sad
เสียใจเพราะคนเดิมๆไม่รู่กี่ครั้งละ,sad
"คนที่เฉย อาจเป็นคนที่เสียใจมากที่สุดก็ได้	",sad
"บทเรียนราคาแพง ไม่ใช่บทเรียนที่เสียเงินมาก แต่เป็นบทเรียนที่เสียใจมาก	",sad
"เคยผ่านมาได้กับความรู้สึกที่เสียใจมากๆ ก็ทำให้เรารู้สึกเก่งขึ้น	",sad
"เห็นเค้ารีวิวสตกคุณนอทซัมเมอร์แล้วน้ำตาไหลมาช้าไป ไม่ได้สั่ง ฮรึก เสียใจ แงงงง	",sad
"คนที่รับฟังเรื่องที่แย่ๆในชีวิตเรา แล้วเขารู้สึกเสียใจกับสิ่งที่เราพบเจอมา ถ้าเจอคนแบบนี้อย่าปล่อยเขาไปง่ายๆนะ	",sad
โคตรดีแต่ในไทยคนดูน้อยมาก เสียใจที่บทดีๆถูกคนมองข้าม เพียงแค่นักแสดงไม่เป็นกระแสในไทย ไม่มีบทรักๆใคร่ๆหวือหว่าแบบฟินจิกหมอน,sad
พี่ไม่เสียใจที่เป็นลีดเดอร์ของเมมเบอร์ เราก็ไม่เสียใจสักนิดที่เป็นโซแอลเป็นผู้หญิงของ เพราะซูโฮมีคนเดียว,sad
"ต่อให้ไม่มีแฟนก็ไม่เสียใจนะ เรารู้ว่ายังมีจีมินแล้วก็บังทันทำให้เรายิ้มแล้วก็หัวเราะได้อยู่ พอถึงเวลามีเดี๋ยวก็มีเองแหละแฟนอ่ะ	",sad
"ก็แอบแย่นะ เป็นคนที่ชอบกั๊กความรู้สึกตัวเอง ชอบสร้างกำแพงใส่คนที่เข้ามาหา อาจเป็นเพราะว่าเคยเสียใจจนพังมาก่อน ถึงไม่ยอมเปิดใจง่ายๆ	",sad
"พอเสียใจบ่อยๆ ก็จะรู้ว่า.. เสียใจได้ แต่อย่าเสียใจและเสียเวลากับมันนาน	",sad
"ถ้าโรงเรียนอื่นรู้ว่าจริงๆโรงเรียนนี่มันเป็นยังไงเขาคงเสียใจกับไร่ผักชีนี้	",sad
"เจะร้องไห้เสียใจ..หลังจากพี่ชายลากกระเป๋าออกจากบ้าน af ..?? #songtriplets https://t.co/1w6QCgG6tI	",sad
"บางเรื่องนี่พูดไม่ได้เลย มีแต่เสียใจทั้งสองฝ่าย	",sad
"เป็นคนที่เสียใจก่อนเสมอ
แต่ก็มักจะออกมาได้ก่อนเสมอ	",sad
"อย่าดราม่ากันเลยจ้า คนที่ไม่ได้ไปเขาก็คงมีเหตุผลหลายอย่าง เราก็รู้แหละว่าอยากให้ไปกันเยอะๆอินจะได้ไม่เสียใจ แต่บางคนก็ไม่พร้อมจริงๆไง	",sad
"ทำไมรร.ต้องพรากวันศุกร์ไปจากเรา แม่งเสียใจ	",sad
"@GingGoy4 งื้ออออ เสียใจ	",sad
"ดีใจกับเพื่อนที่ติด เสียใจกับคนที่ไม่ติด	",sad
"เฮ้ออย่าพูดถึงเรื่องนี้อีกเลย มันเป็นความผิดพลาด ยิ่งคิดยิ่งเสียใจ	",sad
"เราได้ยื่นไปแล้ว เรากล้าที่จะมอบโอกาสให้ตัวเองแล้ว ดีกว่ามาเสียใจทีหลังนะ ปล. ถ้าไม่ติดรับตรงจริงๆ รอบแอดยังมี สู้นะคะ เด็ก 60 เจอกันนะ ??	",sad
"เสียใจจริงๆ	",sad
"@priwpriww พึ่งไปดูมาค่ะ คนเอาไปหมดแล้วไม่ทัน เสียใจมีแต่ตัวสวยๆ งือๆ	",sad
"@itchaxhoshi นกเลยฮือเสียใจ	",sad
"อย่าเอาความสุขไปฝากไว้กับใคร อย่าให้ใครมาเป็นความสุขของเรา เพราะถ้าวันนึงเค้าหายไปคนที่เสียใจก็คือเรานั่นแหละ หัดมีความสุขด้วยตัวเถอะ	",sad
"เป็นคนที่แบบดีใจ-เสียใจ-มีเรื่องตื่นเต้น บลาๆ โทรหาแม่อะไรๆก็คือโทหาแม่หมด คือชีวิตนี้ไม่ว่าจะดีใจเสียใจ แม่นี่ทุกอย่างของชีวิตจริงๆ?	",sad
"ฉันเสียใจ	",sad
"รู้สึกคุ้มค่ามากๆ มีทั้งเขินเศร้าร้องไห้ตลก ครบรสจริงๆ ภูมิใจแทนนักแสดงที่ถ่ายทอดเรื่องราวออกมาได้ดีขนาดนี้ อยากให้ทุกคนได้ไปดู?????? #พรจากฟ้า	",sad
